state,variable,correlation,p_value
Indiana,pct_white_alone,0.5100035475509823,0.0006585647213147245
Indiana,pct_black_alone,0.4468956668767852,0.003398496100513652
Indiana,pct_nhpi_alone,-0.43715578386739606,0.0042638565114284915
Indiana,pct_someother_alone,-0.5657330329588132,0.00011588502397108088
Indiana,pct_twoormore,0.6232100297198673,1.3485125269138106e-05
Indiana,unemployment_rate,0.3763522886845761,0.015299183999774866
Florida,median_age,-0.2630585254060038,0.035717050245720236
Florida,median_household_income,0.30079000702529046,0.015730434090603283
Florida,median_home_value,0.30746287123687815,0.013458165241975444
Florida,pct_asian_alone,0.38680334851088394,0.0015923077631419841
Florida,pct_aian_alone,0.257516216312717,0.0399453821198922
Florida,pct_nhpi_alone,-0.2719373720094582,0.02972266824431384
Florida,pct_someother_alone,-0.40005670810718236,0.0010554490499579637
Florida,hs_grad_or_higher,0.4255811839723234,0.00045519425361640963
Florida,bachelors_or_higher,0.33697791798491433,0.00647267298163798
Florida,registered_republican,0.7371288990407044,3.7821496216254446e-12
Florida,registered_democrat,0.7259626630802605,1.1409261282303318e-11
Florida,registered_minor,0.7668530313694226,1.4941118123376872e-13
Florida,registered_npa,0.6881385565753643,3.322988049310235e-10
Florida,registered_total,0.7345859775485365,4.887051797224097e-12
Florida,trump__vance_rep,0.707593206851265,6.26913804731337e-11
Florida,harris__walz_dem,0.7284526770563825,8.961307210977466e-12
