,correlation,p_value
median_age,-0.2630585254060038,0.035717050245720236
median_household_income,0.30079000702529046,0.015730434090603283
median_home_value,0.30746287123687815,0.013458165241975444
pct_white_alone,-0.1750915777423442,0.16640691051004533
pct_black_alone,0.19718309672620962,0.11834669635762912
pct_asian_alone,0.38680334851088394,0.0015923077631419841
pct_aian_alone,0.257516216312717,0.0399453821198922
pct_nhpi_alone,-0.2719373720094582,0.02972266824431384
pct_someother_alone,-0.40005670810718236,0.0010554490499579637
pct_twoormore,0.17448009566449776,0.16791535777219094
pct_hispanic,-0.2353210297155694,0.06122813378817546
hs_grad_or_higher,0.4255811839723234,0.00045519425361640963
bachelors_or_higher,0.33697791798491433,0.00647267298163798
unemployment_rate,-0.12662586575331292,0.31873441768457866
pct_below_poverty_level,-0.22202464473119804,0.07785498848723509
statefips,,
countyfips,-0.017579345253374686,0.8903403363461134
registered_republican,0.7371288990407044,3.7821496216254446e-12
registered_democrat,0.7259626630802605,1.1409261282303318e-11
registered_minor,0.7668530313694226,1.4941118123376872e-13
registered_npa,0.6881385565753643,3.322988049310235e-10
registered_total,0.7345859775485365,4.887051797224097e-12
trump_/_vance_rep,0.707593206851265,6.26913804731337e-11
harris_/_walz_dem,0.7284526770563825,8.961307210977466e-12
