GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,Highway_Count
18001,Adams,33.2,63128,173100,4.4,0.0,0.3,0.0,95.3,92.8,0.4,1.2,15.2,87.0,2.7,12.4,2
18003,Allen,36.2,68839,194300,6.3,0.6,1.8,0.1,91.2,70.6,10.7,1.3,31.1,90.3,4.6,12.2,6
18005,Bartholomew,37.7,80365,221100,6.7,1.1,1.1,0.1,91.0,77.6,1.8,0.8,35.4,92.1,3.7,12.0,1
18009,Blackford,44.0,47560,96700,1.3,0.9,0.0,0.0,97.8,94.2,0.5,0.9,13.5,89.5,5.5,17.5,2
18011,Boone,38.3,104865,341800,2.7,0.3,1.2,0.0,95.9,87.2,2.4,0.7,50.5,95.0,3.0,5.1,3
18013,Brown,50.9,72644,242500,1.0,0.0,0.3,0.7,98.0,94.6,0.6,1.6,26.0,93.6,3.2,8.6,2
18015,Carroll,42.9,64003,167700,3.3,0.2,0.9,0.1,95.6,92.6,0.7,0.7,15.5,89.7,2.9,8.4,2
18017,Cass,41.1,56525,118700,10.7,0.8,6.0,0.6,81.9,74.7,1.3,1.6,15.6,85.8,3.4,12.7,1
18019,Clark,39.8,72298,212400,4.4,0.8,1.2,0.2,93.4,80.3,6.9,1.5,25.5,90.7,3.8,9.3,1
18033,DeKalb,38.4,70080,177900,1.9,0.3,0.7,0.1,97.1,93.9,0.2,0.5,20.1,92.3,4.1,10.1,1
18029,Dearborn,41.8,82693,227100,1.3,0.0,0.2,0.0,98.5,94.6,0.2,0.7,26.0,91.2,2.3,8.1,1
18035,Delaware,35.7,56932,127600,2.4,0.2,0.6,0.0,96.8,85.0,5.3,2.3,25.7,90.9,6.2,19.9,1
18037,Dubois,40.1,71918,212500,3.7,0.8,4.8,0.3,90.3,87.4,0.9,0.7,24.3,89.2,2.1,9.5,1
18039,Elkhart,35.5,65617,194400,12.4,1.7,5.3,0.2,80.5,70.7,4.8,1.3,19.7,82.2,3.4,12.5,3
18043,Floyd,40.1,78179,235100,2.1,0.5,1.3,0.1,96.0,85.8,5.1,1.0,31.3,92.5,3.8,10.0,2
18053,Grant,39.3,54007,116000,3.7,0.5,1.1,0.0,94.7,83.2,4.8,4.2,20.4,88.8,6.7,18.8,1
18055,Greene,43.1,59753,129900,1.4,0.2,0.4,0.0,98.0,95.5,0.4,0.9,14.6,88.1,6.4,13.3,2
18067,Howard,41.0,62496,151500,2.5,0.4,0.8,0.2,96.1,83.1,7.8,1.8,20.0,92.1,5.7,12.5,5
18069,Huntington,40.8,62734,146400,2.0,0.5,0.5,0.0,97.0,93.3,0.8,1.0,23.1,93.0,3.2,10.1,1
18071,Jackson,38.8,70208,174500,7.5,1.8,4.1,0.2,86.4,80.7,1.1,1.9,20.3,89.2,3.1,11.2,4
18073,Jasper,41.4,79634,204400,4.8,1.0,1.5,0.0,92.7,87.4,0.7,0.8,18.1,93.1,3.9,6.9,1
18077,Jefferson,41.6,59987,180600,2.5,0.3,0.4,0.2,96.6,91.7,1.1,1.9,18.1,88.6,4.1,11.2,4
18079,Jennings,40.1,68476,154600,3.0,0.0,0.3,0.0,96.7,93.5,0.5,1.3,13.6,87.6,4.3,12.5,2
18081,Johnson,38.1,87227,260400,2.4,0.8,0.8,0.2,95.9,84.9,3.0,0.8,33.3,92.7,3.0,7.2,2
18083,Knox,39.1,58863,123500,1.5,0.5,0.8,0.0,97.2,90.1,1.6,2.1,17.8,90.1,2.5,13.4,2
18085,Kosciusko,39.0,73922,200300,6.4,1.4,1.6,0.0,90.5,85.7,0.7,0.8,24.6,88.0,2.9,9.7,1
18091,LaPorte,40.8,70452,180700,5.0,0.9,1.4,0.0,92.6,76.8,10.2,1.1,21.7,90.5,4.4,14.0,2
18089,Lake,39.6,68985,214700,15.8,3.0,1.6,0.1,79.5,52.0,22.9,1.4,24.9,90.2,6.3,14.6,12
18093,Lawrence,43.5,65551,164500,1.6,0.1,0.2,0.0,98.1,94.2,0.4,1.2,20.5,90.4,3.4,11.3,1
18097,Marion,34.3,63450,207000,8.7,0.8,3.6,0.3,86.6,50.5,27.3,1.6,34.1,87.7,5.1,15.1,4
18103,Miami,41.0,61130,118000,2.1,0.3,0.9,0.4,96.4,87.3,3.7,1.6,16.1,87.5,6.5,15.2,1
18105,Monroe,31.4,63372,261700,2.3,0.6,1.6,0.1,95.4,81.6,3.5,1.0,49.1,94.8,5.5,20.2,1
18109,Morgan,41.6,79088,220100,1.0,0.5,0.3,0.1,98.0,94.1,0.5,1.0,20.6,90.4,3.8,8.5,1
18117,Orange,43.0,64758,143900,1.0,0.5,0.0,0.2,98.3,93.1,1.5,1.5,15.2,85.8,2.9,13.3,1
18119,Owen,45.3,59586,162400,0.7,0.2,0.4,0.2,98.5,95.2,0.6,1.5,17.0,87.0,4.6,11.9,1
18127,Porter,40.6,85828,261900,8.3,1.9,1.0,0.2,88.7,80.0,4.1,0.9,30.1,93.8,4.4,9.2,3
18129,Posey,43.1,79124,218000,0.6,0.5,0.2,0.2,98.5,93.7,0.7,1.2,25.3,93.3,2.3,9.9,2
18133,Putnam,38.4,76182,205800,1.2,0.1,0.9,0.0,97.8,91.0,3.4,0.6,19.9,90.8,2.1,8.1,1
18137,Ripley,40.9,71084,205300,1.2,0.2,0.4,0.1,98.1,94.7,0.2,0.6,19.4,90.6,3.2,9.6,1
18139,Rush,42.7,64393,155900,1.3,0.0,0.4,0.1,98.2,94.7,0.7,0.7,16.8,90.8,5.7,13.0,3
18143,Scott,41.2,54583,145400,1.6,0.4,0.4,0.0,97.5,94.0,0.3,2.0,12.4,84.0,3.4,14.7,2
18145,Shelby,41.2,71301,188300,3.8,0.2,1.3,0.3,94.6,90.5,1.2,0.6,19.4,90.4,4.0,11.5,2
18147,Spencer,44.2,70890,180200,2.8,0.0,0.7,0.0,96.5,93.4,0.6,0.7,21.2,93.1,3.4,6.6,2
18141,St. Joseph,36.7,64885,179800,7.6,0.7,1.7,0.1,89.8,69.6,12.4,1.3,32.6,91.2,5.0,14.6,2
18157,Tippecanoe,28.8,58622,217600,7.3,0.5,2.0,0.3,89.9,72.5,5.9,0.9,40.1,92.0,2.9,19.0,3
18159,Tipton,44.5,78309,166000,2.1,0.3,0.7,0.0,96.9,93.3,0.8,0.6,24.9,91.7,3.0,11.5,1
18163,Vanderburgh,38.9,60938,172300,2.2,0.2,1.0,0.1,96.4,80.8,9.7,0.9,27.1,91.4,4.4,14.4,2
18165,Vermillion,42.5,59363,109500,1.3,0.1,0.0,0.0,98.6,95.7,0.0,1.7,17.2,92.6,6.0,13.3,2
18177,Wayne,40.9,56652,126100,2.7,0.2,0.9,0.1,96.2,86.2,4.0,1.8,20.2,88.3,5.3,16.9,3
18183,Whitley,41.8,75790,205200,1.9,0.5,0.3,0.0,97.4,92.7,0.2,1.2,22.8,92.1,4.5,10.7,4
