variable,high_mean,low_mean,t_statistic,p_value,effect_size,significant
median_age,43.45490196078431,47.934375,-3.286572902937907,0.0016566690949491936,-0.7457300730372592,True
pct_someother_alone,83.7078431372549,89.30312500000001,-3.193031567591567,0.0020064790812960817,-0.680070036672921,True
pct_twoormore,4.954901960784314,1.7468750000000002,3.042066101290834,0.0033019793026219406,0.6253058070398804,True
pct_nhpi_alone,95.35882352941177,96.75,-2.311163855645249,0.023637256739113717,-0.5120728431336802,True
pct_white_alone,3.3725490196078427,2.3031249999999996,2.065109091122048,0.04263267367534689,0.46168757810640604,True
pct_asian_alone,0.7568627450980392,0.56875,1.9167720943598485,0.059093337968834786,0.4231397227285336,False
pct_black_alone,0.3784313725490196,0.278125,1.6637428503319958,0.10014542573999782,0.3494414093593981,False
pct_aian_alone,0.1392156862745098,0.109375,1.1706316398394956,0.2451794189782426,0.25039471765297383,False
pct_below_poverty_level,13.488235294117647,12.765625,0.9551592742942882,0.3427370588701709,0.21287126639404005,False
median_household_income,64770.19607843137,63560.875,0.49297717704260463,0.6234962174788201,0.10914485904608887,False
bachelors_or_higher,92.078431372549,91.80625,0.45169676300834277,0.6530602484504912,0.10276486165069959,False
median_home_value,180813.72549019608,184471.875,-0.2757472054994697,0.7835983159401445,-0.062125098634319975,False
unemployment_rate,5.6725490196078425,5.584375,0.2624531662179474,0.7938501671879437,0.05980542471948768,False
hs_grad_or_higher,24.939215686274512,24.5625,0.17351383825858085,0.862803852790535,0.03939815814163885,False
geoid,26083.117647058825,26082.8125,0.02627593110418893,0.9791347522559567,0.006097980670167902,False
pct_hispanic,2.964705882352941,2.965625,-0.001213029291092888,0.9990351256340085,-0.00025919397772576966,False
