Variable,T_Statistic,P_Value,Effect_Size,High_Mean,Low_Mean,Significant
HS_Grad_or_Higher,3.0845984934665256,0.002631766898537609,0.492941398692737,24.4943661971831,20.285792349726773,True
Pct_Black_Alone,2.3247838162950187,0.02197163466395156,0.35749923822763224,0.5211267605633803,0.31803278688524594,True
Median_Age,-2.199991311490995,0.029571565081754316,-0.3044218152624078,38.58591549295775,40.576502732240435,True
Pct_Asian_Alone,1.791523267131032,0.07560082019211059,0.25146894110379514,3.6746478873239434,3.055737704918033,False
Pct_White_Alone,1.0238980158591997,0.3079826610922207,0.14911681516985992,33.821126760563374,30.608196721311483,False
Median_Household_Income,-0.999330216783165,0.32107679979347375,-0.22502516005404125,-9321361.056338029,62996.74863387978,False
Unemployment_Rate,0.9218069093666722,0.3580085727659152,0.11607436507822459,4.8394366197183105,4.552459016393442,False
Pct_Below_Poverty_Level,-0.8350912023850147,0.4050638231249721,-0.11080595565500334,14.415492957746478,15.124043715846993,False
Pct_Hispanic,-0.7530507383560927,0.4524486902236397,-0.09227876341525287,2.1507042253521127,2.280874316939891,False
Bachelors_or_Higher,-0.18970793147052137,0.8499076791010297,-0.029676521372079715,83.45774647887325,83.67704918032787,False
Median_Home_Value,0.14076347058604455,0.8882650149918596,0.019078999278647285,-9183762.90140845,-10773932.229508197,False
